#championsleague i am cmng to watch you...all matches in hyd #feelinghappy hope #mumbaiindians comes to hyd...catch me in #southextension	joy
#mufc wages up19% in13/14 season with #dimaria #falcao #herrera #rojo and others joining where will @manutd be without #epl top 4 and #ucl?	anticipation
#sterlings getting some great experience here. i'm sure he'll learn from it and it will help for the #ucl	joy
1 more week then it's block 208 kop grandstand and champions league!!!! #lfc #kopend #europeanfootball	anticipation
1 week from today! the @championsleague returns!!! #ucl #europe	anticipation
1 week today champions league is back at anfield! yerrrrrrrrrs! 👊	anticipation
1 week today i'll be flying out for @bvb vs @arsenal in the @championsleague cannot wait to return to the #westfalen	anticipation
1 week today, @championsleague returns to @lfc under the floodlights! i'll be there, with @cunningham83 - buzzing is an understatement. 🎉	anticipation
2012 was only good because chelsea won the champions league ❤️	joy
26 yo right back, played in champions league? i'll take that, thank you very much. #mvfc	joy
3 days to go till 2014 champions league t20 !! #clt20 #cricket	anticipation
3 league titles, 1 champions league, 12 cup wins and the new chairman wants to replace me as the manage?!?!	surprise
5 champions league trophies? nah mate much prefer to have 5 players in fifa top 50.	trust
5 more sleeps till champions league football is back at anfield! i'm like a kid at xmas right now	joy
7 days reds and we're back in the champions league #lfc #excited	joy
7 days until the best competition of the world! @championsleague #thrilled	joy
70+ pages of champions league preview editing. my eyes are now crossed.	sadness
the only reason i am still sane is @sargeant_j . i thank him.	trust
8 days til @lfc return to the @championsleague i'm excited... #europeannights #anfield #lfc #ynwa	joy
8 days until liverpool vs ludogrets in the champions league, the match will be shown on itv :)	joy
8 days until our first champions league game. no words can describe how excited i am.	joy
8 days until real madrid's first 2014 2015 champions league game!  real madrid - basel	joy
@ city hall watching passing of resolution recognizing #jrw little league champions! go #chicago!	joy
@258_abdallah scored in 2 champions league finals with 2 different teams.	joy
@__sparky___ forster hasn't proved himself yet though. one game good game in the champions league doesn't make him a great keeper.	disgust
@_growingstrongx they're gonna win it. premier league back this weekend. champions league is back next week too. loving all this footy.	joy
@_gulexd yh man during uni we'll see how well we done i'm sending u a pic of my league and champions league squads lol	joy
@_kingblake @macca_clifton @_dunderdog_ and football goes back before 2003 so :) djimi traore has more champions league medals than arsenal😂	joy
@_liambromley good player since he went to a champions league team 😉	trust
